Value,Description,DTLS-OK,Reference,Comment
0,hello_request_RESERVED,Y,[RFC8446],Used in TLS versions prior to 1.3.
1,client_hello,Y,[RFC8446],
2,server_hello,Y,[RFC8446],
3,hello_verify_request_RESERVED,Y,[RFC6347][RFC8446],"Assigned for interim draft, but the functionality was moved to
        a different message."
4,"new_session_ticket (renamed from ""NewSessionTicket"")",Y,[RFC4507][RFC8446][RFC8447],
5,end_of_early_data,Y,[RFC8446],
6,hello_retry_request_RESERVED,Y,[RFC8446],"Assigned for interim draft, but the functionality was moved to an extension."
7,Unassigned,,,
8,encrypted_extensions,Y,[RFC8446],
9,RequestConnectionId,Y,[RFC-ietf-tls-dtls13-43],
10,NewConnectionId,Y,[RFC-ietf-tls-dtls13-43],
11,certificate,Y,[RFC8446],
12,server_key_exchange_RESERVED,Y,[RFC8446],Used in TLS versions prior to 1.3.
13,certificate_request,Y,[RFC8446],
14,server_hello_done_RESERVED,Y,[RFC8446],Used in TLS versions prior to 1.3.
15,certificate_verify,Y,[RFC8446],
16,client_key_exchange_RESERVED,Y,[RFC8446],Used in TLS versions prior to 1.3.
17-19,Unassigned,,,
20,finished,Y,[RFC8446],
21,certificate_url_RESERVED,Y,[RFC6066][RFC8446],Used in TLS versions prior to 1.3.
22,certificate_status_RESERVED,Y,[RFC6066][RFC8446],Used in TLS versions prior to 1.3.
23,supplemental_data_RESERVED,Y,[RFC4680][RFC8446],Used in TLS versions prior to 1.3.
24,key_update,Y,[RFC8446],
25,compressed_certificate,Y,[RFC8879],
26,ekt_key,Y,[RFC8870],
27-253,Unassigned,,,
254,message_hash,Y,[RFC8446],
255,Unassigned,,,
